-6	0.0022	0.0024	0.0026
-5.5	0.0086	0.0095	0.0097
-5	0.026	0.028	0.0285
-4.9	0.0313	0.034	0.035
-4.7	0.044	0.0497	0.05
-4.5	0.0637	0.0704	0.0719
-4.3	0.0907	0.0981	0.0997
-4.1	0.1246	0.1324	0.135
-4	0.1447	0.1543	0.157
-3.9	0.168	0.1781	0.178
-3.7	0.219	0.229	0.217
-3.5	0.273	0.283	0.284
-3.3	0.327	0.33	0.328
-3.1	0.368	0.364	0.361
-3	0.386	0.378	0.376
-2.5	0.454	0.438	0.437
-2	0.508	0.489	0.487
-1.5	0.557	0.535	0.532
-1	0.599	0.574	0.57
-0.5	0.646	0.612	0.609
0	0.685	0.649	0.647
0.5	0.722	0.687	0.686
1	0.754	0.721	0.72
1.5	0.782	0.75	0.749
2	0.804	0.775	0.773
2.5	0.819	0.795	0.794
3	0.83	0.812	0.811
3.5	0.841	0.826	0.825
4	0.848	0.837	0.836
4.5	0.856	0.845	0.843
5	0.862	0.853	0.85
5.5	0.868	0.86	0.858
6	0.873	0.865	0.864
6.5	0.879	0.871	0.87
7	0.883	0.876	0.875
7.5	0.888	0.882	0.882
8	0.895	0.89	0.889
8.5	0.905	0.902	0.902
9	0.924	0.926	0.926
9.5	0.961	0.971	0.974
10	1.031	1.065	1.065
10.5	1.162	1.219	1.22
11	1.365	1.452	1.47
